TCM_symptom_id,TCM_symptom_name,source,detail_url,old_definition,new_definition
409,昏迷,duguji,https://baike.duguji.cn/baike/w/%E6%98%8F%E8%BF%B7,,"昏迷是由于大脑功能受到极度抑制而意识丧失和随意运动消失，而且对刺激无反应或出现异常反射活动的病理状态。值得注意的是，昏迷与嗜睡、昏睡是不相同的。昏迷是内科急症中常见的症状之一，约占急诊总人数的3%~5%，病死率高达20%，涉及多专业，多学科知识。由于昏迷患者无法提供病史及配合检查，给诊断、治疗带来一定的困难,这就需要临床医生详细询问送诊人员昏迷患者病史及认真体检，进行必要的辅助检查,才能在第一时间内做出正确诊治。"
426,肌肉疼痛,duguji,https://baike.duguji.cn/baike/w/%E8%82%8C%E8%82%89%E7%96%BC%E7%97%9B,,肌肉疼痛是一个很广泛的症状，很多疾病都可以导致肌肉疼痛，最常见的当属剧烈运动后引起的肌肉生理性酸痛，原因为肌肉局部无氧酵解产生过多乳酸，堆积在局部，刺激神经末梢从而产生酸痛。而疾病导致的肌肉疼痛见于下列疾病：
447,健忘,duguji,https://baike.duguji.cn/baike/w/%E5%81%A5%E5%BF%98,,健忘是指记忆力差、遇事易忘的症状。常见于老年人。
484,经前乳房胀痛,duguji,https://baike.duguji.cn/baike/w/%E7%BB%8F%E5%89%8D%E4%B9%B3%E6%88%BF%E8%83%80%E7%97%9B,,肝气郁结型［证见］经前乳房胀满疼痛而硬，甚则痛不可触衣；或阴中抽痛，或痛经或婚久不孕。经前常喜叹息，烦躁易怒，胸胁少腹胀痛。舌黯红或尖边红，苔薄白或微黄，脉弦或弦数。［治法］疏肝解郁，和胃消导。［方药］
481,经期腹痛,dayi,https://www.dayi.org.cn/symptom/1153284.html,,经期腹痛是指女性在月经期间出现的下腹部疼痛现象。这是一种较为常见的妇科症状，与前列腺素水平变化、盆腔器质性疾病等有关。一般来讲，通过采取积极的干预措施，可以使腹痛症状有效地减轻，从而提升患者的生活质量。
529,久嗽,duguji,https://baike.duguji.cn/baike/w/%E4%B9%85%E5%97%BD,,久嗽，证名。咳嗽经久不愈者。见《圣济总录》卷六十五。详久咳条。
562,渴,duguji,https://baike.duguji.cn/baike/w/%E6%B8%B4,,与渴有关的国家基本药物零售指导价格信息
573,口干,duguji,https://baike.duguji.cn/baike/w/%E5%8F%A3%E5%B9%B2,,口干症在临床上并不少见，尤其是老年人发病率更高。由于唾液分泌减少，患者感到口腔干燥，有异物感、烧灼感，在咀嚼食物，特别是较干燥的食物时，不能形成食团而影响吞咽。唾液分泌量少，对牙齿和口腔粘膜的冲刷作用也小，使口腔自洁作用变差。因而，口干症患者的患龋率较高。多数口干症患者的味觉也受到影响，不能有效地刺激食欲，而且会影响整个消化系统的功能。
575,口角流涎,duguji,https://baike.duguji.cn/baike/w/%E5%8F%A3%E8%A7%92%E6%B5%81%E6%B6%8E,,口角流涎，证名。口角自流清涎。
577,口渴,duguji,https://baike.duguji.cn/baike/w/%E5%8F%A3%E6%B8%B4,,口渴（thirsty） 口干想喝水。口渴的原因很多，如果说中枢系统出了问题，老会觉得渴，实际上不缺水，也没有出现口干的现象，但是中枢神经反应出来就是口渴要喝水。还有是免疫性的疾病，叫干燥综合症，不仅只是口渴，还包括各种粘膜的干燥，比如说眼睑结膜的干燥，到医院去检查。不要只做糖尿病的检查，尿崩症也会有异常口渴的状况。
580,口苦,duguji,https://baike.duguji.cn/baike/w/%E5%8F%A3%E8%8B%A6,,口苦，证名。口内有苦味，多由热蒸胆汁或胃热熏蒸、上溢所致。《灵枢·邪气脏府病形》：“胆病者，善太息，口苦。”《素问·痿论》：“肝气热，则胆泄，口苦。”口苦为伤寒少阳病主证之一。《伤寒论·辨少阳病脉证并治》：“少阳之为病，口苦咽干目眩也。”治宜和解，方用小柴胡汤加减。杂病亦多见此症。《景岳全书·杂证谟》谓凡思虑劳倦色欲过度者，多有口苦舌燥，饮食无味之证。其病在心脾肝肾，心脾虚则肝胆邪溢为苦。
579,口渴喜饮,duguji,https://baike.duguji.cn/baike/w/%E5%8F%A3%E6%B8%B4%E5%96%9C%E9%A5%AE,,烦渴多饮是由于抗利尿激素(即精氨酸加压素，简称AVP)缺乏、肾小管重吸收水的功能障碍，从而引起以多尿、烦渴、多饮是由于下丘脑―神经垂体部位的病变所致，但部分病例无明显病因，但以青年为多见。
609,冷喘,duguji,https://baike.duguji.cn/baike/w/%E5%86%B7%E5%96%98,,冷喘，病证名。阳气虚衰、内寒偏盛所致的气喘。《古今医鉴》卷四：“冷喘则遇寒而发。”可用止喘丸等方。参见寒喘等条。
613,冷泻,duguji,https://baike.duguji.cn/baike/w/%E5%86%B7%E6%B3%BB,,冷泻，病证名。外受风寒或内伤生冷所致的暴泻。《医学传灯》：“冷泻者，鼻吸风寒之气，口食生冷之物，皆能作泻，此暴病也。”治宜温中止泻，用香砂理中汤。参见寒泄、寒泻条。
622,两眼刺痛,duguji,https://baike.duguji.cn/baike/w/%E4%B8%A4%E7%9C%BC%E5%88%BA%E7%97%9B,,眼睛刺痛的原因很多，角膜疾病可以引起，正常的眼球表面覆盖着一层泪膜，它是维持眼表健康、舒适的基础。白领由于长时间盯着电脑，注意力高度集中，眼睑睁开得较大，泪液蒸发比平时增加，而同时眨眼次数大大减少，造成眼球表面泪液滋润不足，加上荧屏光线的辐射，因此容易出现眼睛干涩、刺痛。
637,流清涕,duguji,https://baike.duguji.cn/baike/w/%E6%B5%81%E6%B8%85%E6%B6%95,,鼻子流涕是鼻病的常见症状，不同的鼻病，可以出现不同颜色、性状的鼻涕。如果留意观察，可以从五颜六色的鼻涕中，找到某些疾病的信号。
638,流涕,duguji,https://baike.duguji.cn/baike/w/%E6%B5%81%E6%B6%95,,"［shed tears］ 流泪。涕,古代一般指眼泪,用“泗”指鼻涕。如“涕泗交流”。后来“泪”代替了“涕”,“涕”代替了“泗”,“泗”一般不再使用。"
647,麻木,duguji,https://baike.duguji.cn/baike/w/%E9%BA%BB%E6%9C%A8,,麻木，证名。肌肤感觉障碍。麻，肌肤蚁走感，或如触电感；木，皮肉不仁如木厚之感。由气血俱虚，经脉失于濡养，或气血凝滞，经络失畅，或寒湿痰瘀留阻脉络所致。《杂病源流犀烛·麻木源流》：“麻木，风虚病亦兼寒湿痰血病也。麻，非痒非痛，肌肉之内，如千万孑虫乱行，或遍身淫淫如虫行有声之状，按之不止，搔之愈甚，有如麻木之状。木，不痒不痛，自己肌肉如人肌肉，按之不知，掐之不觉，有如木之厚。”《医学准绳·麻木》：“麻属痰属虚；木则全属湿痰死血，一块不知痛痒，若木然是也。”《张氏医通·麻木》：“一块不知痛痒，阴寒益甚，或日轻夜重，脉涩而芤或弦，属痰挟死血，宜活血行气，二陈加芎、归、桃仁泥、红花、牛膝、韭汁之类。大便见黑而不作泻者，小剂桃核承气汤微利之。十指麻木，属胃中湿痰死血，二陈加二术、桃仁、红花、少加附子行经。湿热下流，两脚麻木，或如火燎者，二妙加牛膝作丸，不应，少加肉桂。”又治浑身麻木不仁，或左或右半身麻木，或面或头或手臂或脚腿麻木不仁，并用神效黄芪汤（见《张氏医通·痹》）。
659,慢性支气管炎急性发作,duguji,https://baike.duguji.cn/baike/w/%E6%85%A2%E6%80%A7%E6%94%AF%E6%B0%94%E7%AE%A1%E7%82%8E%E6%80%A5%E6%80%A7%E5%8F%91%E4%BD%9C,,慢性支气管炎（chronic bronchitis）是由于感染或非感染因素引起气管、支气管粘膜及其周围组织的慢性非特异性炎症。其病理特点是支气管腺体增生、粘液分泌增多。临床出现有连续两年以上，每持续三个月以上的咳嗽、咳痰或气喘等症状。早期症状轻微，多在冬季发作，春暖后缓解；晚期炎症加重，症状长年存在，不分季节。疾病进展又可并发阻塞性肺气肿、肺源性心脏病，严重影响劳动力和健康。
651,脉沉细,dayi,https://www.dayi.org.cn/symptom/1153742.html,,脉沉细是中医脉诊中常见的一种相兼脉象，其特征为脉搏的位置较深，需重按才能明显感知，同时脉道狭窄细小，状若丝线。这种脉象通常提示体内气血不足、阳气虚弱或存在寒邪、湿邪等病理变化，但也可能见于正常人。在临床上，需结合病史、其他症状进行综合分析，以作出准确的判断。
668,面赤,duguji,https://baike.duguji.cn/baike/w/%E9%9D%A2%E8%B5%A4,,面赤，诊断学名词。指一种色诊。赤为火热之色，属心。赤甚主实热，微赤主虚热。久病虚人，午后两颧发赤，为肝肾阴火上炎；赤色如妆，嫩红带白，游移不定，为戴阳证；肺病见赤色，多属阴虚火盛，灼伤肺阴；面赤耳鸣，头目眩痛，多属肝阳化火；赤而明润，为有胃气；枯槁晦滞多属危重证候。《素问·脉要精微论》：“赤欲如帛裹朱，不欲如赭。”
671,面黄,duguji,https://baike.duguji.cn/baike/w/%E9%9D%A2%E9%BB%84,,"诊断术语。色诊之一。黄为脾色。主虚，主湿。临床见黄而光亮，为脾胃湿热;黄而暗淡，寒湿困脾;萎黄淡白，脾虚血少;萎黄而带白斑，为虫积;如黄色光泽明润者，为有胃气，枯槁晦滞者，多属危重证候。《素问·脉要精微论》：“黄欲如罗裹雄黄，不欲如黄土。”吴大真,余传隆 总编;袁钟,图娅,彭泽邦等 主编.中医辞海·中册.北京：中国医药科技出版社.1999.第734页."
685,目暗不明,duguji,https://baike.duguji.cn/baike/w/%E7%9B%AE%E6%9A%97%E4%B8%8D%E6%98%8E,,目暗不明，证名。又名眼暗。《诸病源候论》卷二十八：“夫目者，五脏六腑阴阳精气，皆上注于目。若为血气充实，则视瞻分明；血气虚竭，则风邪所侵，令目暗不明”。治宜滋补肝肾，方用杞菊地黄汤加减，详见目昏条。
695,目黄,duguji,https://baike.duguji.cn/baike/w/%E7%9B%AE%E9%BB%84,,目黄，证名。两眼巩膜泛现黄色。《罗氏会约医镜·杂证》谓目黄有虚实之异。实热目黄，以湿热内蓄，郁蒸而成，清其热而黄自退；虚寒目黄，以元阳日衰，津液消耗所致，无烦热脉症，惟有干涸枯黄，须大加温补，始可救治。《医学纲目·目黄》：“亦有目黄而身不黄者，风气自阳明入胃，循脉而上至目眦，其人肥，风气不得外泄，则为热中而目黄。”治宜青龙散等方。本症多见于黄疸病，参见黄疸条。
698,目涩,duguji,https://baike.duguji.cn/baike/w/%E7%9B%AE%E6%B6%A9,,目涩，证名。眼干燥滞涩或似异物入目般涩痛不适，称目涩。《诸病源候论》卷二十八认为：“目，肝之外候也。脏腑之精华，宗脉之所聚，上液之道，若悲哀内动腑脏，则液道开而泣下，其液竭者，则目涩。又风邪内乘其腑脏，外传于液道，亦令泣下而数欠，泣竭则目涩。若腑脏劳热，热气乘于肝，而冲发于目，则目热而涩也，甚则赤痛。”总之，本病其因有三，一为悲哀哭泣，液竭则目涩，亦有劳瞻视竭，过虚多思，有伤神水而致者，多为肝肾阴虚不足之证。二为风邪内乘其腑脏，外传于液道，令泪下液竭而目涩。风在五行为木，在脏为肝，在窍为目，本乎一气。久风必郁，郁则生火，火性炎上，致目失润泽而发干涩。三为腑脏有热，热气乘于肝，上冲于目，则目热而涩。临床应详审病因，辨证施治。参见目干涩、目沙涩条。
702,目痒,duguji,https://baike.duguji.cn/baike/w/%E7%9B%AE%E7%97%92,,目痒，证名。见《太平圣惠方》卷三十三。亦作眼痒。风、火、湿、热、血虚等均可引起。眼内痒涩不适，重者痒若虫行，奇痒难忍。可见于今之沙眼、睑缘炎、春季卡他性结膜炎等病。内治法：因风者，宜祛风散邪，用驱风一字散加减；属风热者，宜疏风清热，用银翘散加减；属湿热者，宜清热除湿，用除湿汤加减；属血虚生风者，宜养血祛风，用四物汤加荆芥穗、白蒺藜等。外治法：广大重明汤煎水熏洗，眼药精调冷开水外涂。目病邪退正复而痒者，勿需治疗。由于引起目痒的原因较多，且临床上常见有几种原因共同致病，故应详细审证求因，辨证用药。
721,尿赤,duguji,https://baike.duguji.cn/baike/w/%E5%B0%BF%E8%B5%A4,,尿赤是指尿的颜色有些发黄，常见于上火，喝水少，吃莫些药物也会出现这种现象。一般单独不说明什么疾病，而是一种现象。
725,尿后滴沥,duguji,https://baike.duguji.cn/baike/w/%E5%B0%BF%E5%90%8E%E6%BB%B4%E6%B2%A5,,尿后滴沥是不像正常小便一样，一般前列腺肥大会有这种症状，开始放尿的时候就开始一点一点的流出，而且有尿意，就是尿得不畅快。
737,尿涩,duguji,https://baike.duguji.cn/baike/w/%E5%B0%BF%E6%B6%A9,,尿涩应该作一个尿常规检查是否有尿路感染可能，或作尿的细菌培养。另外如果是男性还要注意前列腺炎。
727,尿黄,dayi,https://www.dayi.org.cn/symptom/1153080.html,,尿黄又称为小便黄、小便黄赤或溺赤等，是指小便颜色较正常尿液黄，呈深黄色、黄赤色、黄褐色，甚至尿如浓茶一般的现象。西医认为尿黄可能是正常生理现象，也可能提示尿路感染、黄疸、急性肾损伤等疾病。而中医认为尿黄多由火热或湿热累及膀胱所致，涉及脏腑包括心、肝、胆、胃、小肠、膀胱等。
754,呕逆,duguji,https://baike.duguji.cn/baike/w/%E5%91%95%E9%80%86,,呕逆，病证名。出《灵枢·经脉》。即呕吐。详该条。
769,皮肤皲裂,duguji,https://baike.duguji.cn/baike/w/%E7%9A%AE%E8%82%A4%E7%9A%B2%E8%A3%82,,肌肤骤然被寒冷风燥所逼，致血脉阻滞，肌失濡养，皮肤遂渐枯槁，促成皲裂。
778,皮肤瘀斑,duguji,https://baike.duguji.cn/baike/w/%E7%9A%AE%E8%82%A4%E7%98%80%E6%96%91,,广泛性或局限性皮肤、粘膜下出血，形成皮肤粘膜的红色或暗红色色斑，直径约3-5毫米或更大，大于5毫米者称为瘀斑。
781,皮肤紫癜,duguji,https://baike.duguji.cn/baike/w/%E7%9A%AE%E8%82%A4%E7%B4%AB%E7%99%9C,,皮肤和粘膜出血后颜色改变的总称。临床表现为出血点、紫癜和瘀斑，一般不高出皮面，仅于过敏性紫癜时可稍隆起，开始为紫红色，压不退色，以后逐渐变浅，至两周左右变黄而消退。紫癜是出血性疾病最常见的临床表现。
795,痞闷,duguji,https://baike.duguji.cn/baike/w/%E7%97%9E%E9%97%B7,,郁滞烦闷。《证治准绳》：“饮食所伤痞闷者，当消导之，去其胸中窒塞。”达美君 主编.简明中医语词辞典.上海：上海科学技术出版社.2004.第706页.
816,前额头痛,duguji,https://baike.duguji.cn/baike/w/%E5%89%8D%E9%A2%9D%E5%A4%B4%E7%97%9B,,长在前额部位的脑垂体腺瘤的增生而压迫附近的组织而引起前额头痛。
822,轻度烧伤,duguji,https://baike.duguji.cn/baike/w/%E8%BD%BB%E5%BA%A6%E7%83%A7%E4%BC%A4,,由高温、化学物质、电等引起人体的皮肤、组织的损伤称为烧伤。临床上将烧伤分为3度。因家庭只能处理轻度烧伤，故本文只介绍轻度烧伤(Ⅰ度烧伤)。
827,屈伸不利,duguji,https://baike.duguji.cn/baike/w/%E5%B1%88%E4%BC%B8%E4%B8%8D%E5%88%A9,,屈伸不利是指四肢经脉筋肉挛急不舒，四肢关节伸展功能障碍，不能完全完成动作。如手可以表现为腕部屈曲、手指强直。拇指内收贴近掌心与小指相对。
845,妊娠呕吐,duguji,https://baike.duguji.cn/baike/w/%E5%A6%8A%E5%A8%A0%E5%91%95%E5%90%90,,妊娠呕吐是指孕妇在早孕期间经常出现择食，食欲不振、轻度恶心呕吐、头晕，倦怠，称为早孕反应。
847,妊娠下血,duguji,https://baike.duguji.cn/baike/w/%E5%A6%8A%E5%A8%A0%E4%B8%8B%E8%A1%80,,病证名。出《金匮要略·妇人妊娠病脉证并治》。亦称胎前流血。指妊娠后阴道流血。包括激经、胎漏、胎动不安。详见各条。
851,乳房胀痛,duguji,https://baike.duguji.cn/baike/w/%E4%B9%B3%E6%88%BF%E8%83%80%E7%97%9B,,女性在不同时期由于生理或病理变化引起的乳房胀痛。常常分为病理性和生理性。
880,善太息,duguji,https://baike.duguji.cn/baike/w/%E5%96%84%E5%A4%AA%E6%81%AF,,善太息常伴胸闷，惟胸闷而欲太息为舒，而胸闷常因气机不利所致。肝郁則失其條達致气机郁滞，气虚則气运不能舒展致气机不利。前者屬實，後者屬虛。根據症狀特點，兩證不難鑒別。
883,伤口感染,duguji,https://baike.duguji.cn/baike/w/%E4%BC%A4%E5%8F%A3%E6%84%9F%E6%9F%93,,伤口感染是病原微生物通过伤口侵入机体后，在体内生长、繁殖，致机体的正常功能、代谢、组织结构受到破坏，引起组织损伤性病变的病理反应。机体受到病原体侵袭后，能动员各种防御功能以消除病原体及其毒性产物，以恢复机体的相对稳定性。病原体侵入机体后是否能引起感染，主要取决于病原体的毒力和机体的抵抗力。
