TCM_symptom_id,TCM_symptom_name,old_definition,new_definition
158,大便黏滞,,湿热蕴结大肠，气机不畅，传导失常，故大便黏滞不爽，排便困难，常伴肛门灼热。
160,大便脓血,,湿热蕴结大肠，灼伤血络，腐化为脓，故见大便中混杂脓血，里急后重。
161,大便清稀,,脾虚运化失职，水湿下注大肠，故见大便清稀，完谷不化。
162,大便失调,,肝郁气滞，疏泄失常，致大肠传导失司，表现为排便不爽、时干时稀或欲便不得。
164,大便溏雹,,大便溏雹指脾虚失运、水湿下注大肠，致大便稀薄不成形，状如鸭溏，常伴腹胀纳少。
166,大便溏软,,大便溏软，指粪便稀软不成形，多因脾虚失运、水湿下注大肠所致。
165,大便溏薄,,大便溏薄，指大便稀软不成形，因脾虚运化失职，湿浊下注大肠所致。
168,大便稀薄如水样,,脾虚运化失职，水湿内停下注大肠，故见大便稀薄如水样，乃湿盛困脾之候。
167,大便溏泻,,大便溏泻，指大便稀薄不成形，甚则如水样，排便次数增多，但无脓血及里急后重。病位在大肠，病性属脾虚。多因脾气虚弱，运化失职，水湿内停，下注大肠所致。常伴纳少、腹胀、神疲乏力、面色萎黄等症。
169,大便稀溏,,脾虚运化失职，水湿内停下注大肠，致大便稀软不成形、溏薄易解。
170,大便泄泻,,脾虚运化失职，水湿下注大肠，传导失常，故见大便稀溏或泄泻。
173,带下白浊,,带下白浊，指妇人阴道中流出稠浊如米泔或腐渣样物，色白或微黄，气味腥臭，伴阴痒、小腹坠胀、小便短赤。其病位在子宫，病性属湿热。多因嗜食肥甘厚味，或外感湿热之邪，蕴结下焦，损伤任带二脉，致湿热下注，秽浊下流而成。
175,带下量多,,带下量多，指阴道内流出黏稠或清稀分泌物，其量明显超出正常生理范围，常伴色、质、气味异常。病位在子宫，病机为任脉失约，带脉不固，多因脾肾亏虚、湿热下注或寒湿内侵，致水湿浊液下注胞宫，任脉约束无权，带下绵绵不绝。
176,带下色黄,,带下色黄，乃湿热之邪蕴结子宫，致任脉失固，带脉不约，故见黄稠秽浊之液下注。
177,带下色黄质稠,,湿热蕴结胞宫，致任脉失固，带脉不约，故见带下色黄、质稠秽浊。
182,倒饱嘈杂,,倒饱嘈杂指胃脘部饱闷不舒，兼有似饥非饥、似辣非辣之灼热感，多因湿热蕴结脾胃，气机升降失常所致。
188,癫痫痰多,,癫痫痰多，系心脑火热炽盛，炼液成痰，痰火互结，上蒙清窍，扰动心神所致。临床表现为猝然昏仆，口吐大量黏稠痰涎，或喉中痰鸣如曳锯，伴见双目上视、四肢抽搐、面红气粗、烦躁不安。其病机核心在于火动痰升，痰随风火闭阻心脑脉络。
189,癲痫,,癫痫，乃心脑火热内盛，上扰清窍，引动肝风所致。临床以突然昏仆，不省人事，口吐涎沫，两目上视，四肢抽搐，或口中如作猪羊叫声，移时苏醒如常为特征。其病机多由五志过极，或外感火热之邪，致心火亢盛，肝阳暴张，风火相煽，痰热内蒙心神，闭塞脑窍，发为痫证。
190,跌打伤痛,,跌打伤痛，指因外力损伤（如跌扑、撞击、扭挫等）致皮肉筋骨受损，血溢脉外，瘀滞局部所引发的疼痛。其病机为血瘀气滞，经络阻闭，不通则痛。临床表现为伤处肿胀、青紫瘀斑，痛有定处，拒按，活动受限，甚则屈伸不利。
192,跌打瘀痛,,跌打损伤致血离经脉，瘀滞局部，不通则痛，症见青紫肿痛，固定不移。
193,跌打肿痛,,跌打肿痛，系因外力损伤，致局部经脉受损，血溢脉外，瘀滞不散，气血运行受阻所致。症见伤处肿胀高起，皮色青紫或暗红，疼痛固定不移，触按痛甚，活动受限。其病性属瘀血，病机为血瘀气滞，不通则痛。
195,跌扑瘀肿,,跌扑瘀肿，系因外力撞击、跌仆闪挫，致经脉受损，血溢脉外，停积于肌肤腠理之间而成。其症见局部青紫肿胀、疼痛拒按，或见灼热，活动受限。病机属血瘀气滞，脉络不通，不通则痛。重者可伴筋伤骨损，迁延不愈则瘀血化热，或留而为患。
194,跌扑伤痛,,跌扑伤痛，指因外力跌扑、撞击等损伤筋肉骨骼所致之疼痛。其病机为外力伤及经络，血溢脉外，离经之血瘀滞局部，气机受阻，不通则痛。临床表现为伤处肿胀、刺痛固定不移、皮色青紫或暗红，活动受限，压之痛甚，重者可伴骨折或筋伤。
196,跌扑肿痛,,跌扑肿痛，指因外力跌打、撞击或坠落等损伤，致局部经络受损、血溢脉外，瘀血阻滞气机，不通则痛。临床表现为伤处肿胀、疼痛拒按，皮色紫暗或青紫，活动受限，甚则局部灼热。其病机核心为瘀血内停，气血壅滞，营卫不和。
197,疔疮痈肿初起,,疔疮痈肿初起，指热毒壅聚皮肤，气血凝滞，局部红肿灼痛、根深坚硬，尚未成脓之证。
198,疔疮肿痛,,疔疮肿痛，指因热毒蕴结皮肤，气血凝滞所致之局部红肿高突、根脚坚硬、状如钉丁之疮疡。其症初起如粟，麻痒相兼，继而焮赤灼痛，肿势局限，脓头易出。病机为火毒炽盛，壅遏肌肤，腐肉成脓。此证属阳证、实证，治宜清热解毒、散结消肿。
201,动辄汗出,,动辄汗出，指稍事活动即汗出不止，多因气虚卫外不固，腠理疏松，津液外泄所致。
202,毒虫咬伤,,毒虫咬伤指虫毒侵入肌肤，致局部红肿、痒痛、起疹或溃烂，甚则毒窜经络，引发全身症状。
205,毒邪未尽,,毒邪未尽指虫毒稽留体内，正气未复，邪气未清，临床可见低热、疮痒、溃脓难敛等余毒未净之象。
209,多泪,,多泪，指目液外溢、频频流泪之症，病位在肝，证属肝虚。肝开窍于目，肝虚则疏泄不及，目失所养，或肝气不足，收摄无权，致泪液不固而自溢。临床多见双目常润，遇风尤甚，伴视物昏花、头晕目眩、面色无华。其病机为肝血亏虚，不能上荣于目，或肝气虚弱，固摄失司。
210,多泪羞明,,多泪羞明，指目常流泪、畏光喜暗之候。其病位在心，因心主血脉，目得血而能视；病性属肝虚，肝开窍于目，肝虚则血不养目，目窍失濡，复因心气不足，神光不充，故见目涩羞明，遇光则泪下。
220,恶寒重,,恶寒重，指患者自觉寒冷甚，加衣覆被不减，为风寒之邪束表，卫阳被遏，肺气失宣之象。
221,恶寒壮热,,恶寒壮热，指患者恶寒与高热并见，为风寒外束肌表、邪正交争剧烈之象，病在肺卫。
218,恶风寒,,恶风寒，指患者自觉怕冷，遇风尤甚，得温可缓之症。其病位在肺，病性属风寒犯肺。临床表现为恶寒重，发热轻，无汗，头身疼痛，鼻塞流清涕，咳嗽痰白清稀。病机为风寒外束，卫阳被郁，肺气失宣，腠理闭塞，故见恶寒而汗不出。
230,发斑,,发斑（胃热证）指因胃火炽盛，燔灼血络，迫血妄行，溢于肌肤所致之斑疹。其斑色鲜红或紫红，形如锦纹，多先见于胸腹，渐及四肢，常伴口渴引饮、口臭龈肿、大便秘结、舌红苔黄、脉洪数等症。病机为阳明热盛，血热沸腾，外发肌表。
228,耳下肿痛,,耳下肿痛，指腮颊部及耳下周围肿胀疼痛，按之痛甚，甚则张口困难。其病位在肝，因足少阳胆经循行耳后，肝胆相为表里，热毒内蕴肝胆，循经上攻，壅滞耳下脉络，气血凝滞，故见肿痛。常伴发热、口渴、便秘等症。
232,发僵,,发僵指肢体关节活动不利、拘急不舒，多因经络气血凝滞不通，筋脉失于濡养所致。
235,发热重,,发热重，指热势较高，多因风热之邪袭表，卫气被郁，邪正相争剧烈所致，常伴微恶风寒、咽痛等症。
239,发疹,,发疹（风热证）指风热邪气客于肌表，郁于皮肤腠理所致之皮疹。其临床表现为皮肤出现红色斑丘疹，形态不一，或如粟粒，或成片状，疹色鲜红，触之碍手，常伴瘙痒、灼热感，遇热加重。病机为风热外袭，卫气郁闭，营卫不和，邪气外透肌肤而发疹。
241,烦倦,,烦倦，指心中烦热、躁扰不宁，伴肢体倦怠乏力之症。病位在心，病性属火热。多因心火亢盛，内扰心神，则烦热不宁；火热耗气伤阴，气阴两虚，肢体失养，故见倦怠。临床常见心烦易怒、失眠多梦、口干舌燥、小便短赤、脉数等。
246,烦躁不宁,,心热内扰神明，心神失守，故见心中烦热、躁动不安、坐卧不宁之象。
247,烦躁不适,,心热内扰，神明失主，故见胸中烦热、躁动不安、难以静卧。
248,烦躁易怒,,心热内扰，神明失主，故见心烦不宁、急躁易怒，此乃心火亢盛、扰动心神之象。
249,烦躁谵语,,心热炽盛，扰乱神明，故见心中烦热、躁动不安，甚则神昏胡言。
255,肺气不畅,,肺气不畅指肺失宣肃，气机壅滞，临床表现为胸闷、咳嗽、喘息，属气逆证，多因外邪或痰浊阻肺所致。
260,痱疹鲜红,,痱疹鲜红，病位在肺，属火热证，指肺经郁热外发于肌肤，疹色红赤，伴灼热瘙痒。
266,风湿痹痛,,风湿痹痛，指风、湿二邪杂合侵袭四肢经络，致气血痹阻不通之证。症见四肢关节、肌肉游走性酸楚重着疼痛，或伴肿胀、屈伸不利，遇阴雨天加重。其病机为风湿相搏，留滞肢节，阻遏气机，营卫涩滞。
262,粉剌疙瘩,,粉刺疙瘩，指皮肤腠理间因湿热蕴结、郁阻毛窍，发为丘疹或脓疱，多伴红肿疼痛，属湿热证候。
268,风湿疼痛,,风湿疼痛，指风、湿二邪合侵四肢经络，致气血痹阻所生之疼痛。其痛多游走不定，或沉重酸楚，甚则关节屈伸不利，遇阴雨天加重。病机为风湿相搏，留滞肢节，阻遏阳气，不通则痛。
267,风湿关节痛,,风湿关节痛，指风、湿二邪杂合，痹阻四肢经络、关节所致之疼痛。其痛多游走不定，或沉重酸楚，甚则屈伸不利，遇阴雨天加重。病机为风湿相搏，气血凝滞，经络不通，不通则痛。
269,风湿瘀痛,,风湿瘀痛指风、湿、瘀三邪痹阻四肢经络，致气血凝滞不通，临床表现为肢体沉重、游走性疼痛及固定刺痛。
270,风湿肢体关节痿软,,风湿之邪痹阻四肢经络，致气血不畅，筋骨失养，故见肢体关节酸楚重着、痿软无力。
273,风痰瘀血痹阻脉络,,风痰挟瘀血互结，阻滞经络，致肢体麻木、半身不遂或舌强语謇，属中风病机。
275,风眼烂弦,,风眼烂弦，系风热之邪上攻目窍所致。其症见眼睑边缘红赤溃烂，痒痛并作，眵泪胶黏，甚则睫毛脱落，睑弦增厚。病机为风热外袭，客于睑弦，气血壅滞，湿热腐化成疮。治宜疏风清热，除湿止痒。
276,风疹发红,,风疹发红，指皮肤出现红色斑丘疹，色泽鲜红，压之褪色，伴瘙痒，多骤然发作，游走不定。其病机为风热外袭，郁于肌腠，与气血相搏，热盛则红，风胜则痒。临床常伴发热、恶风、咽痛、脉浮数等表热证。
279,腐肉不去,,腐肉不去，指湿热毒邪壅滞，气血腐败，致疮疡溃后或外伤创面坏死组织难以脱落之症。临床多见创面脓腐晦浊、臭秽难闻，四周红肿灼痛，或伴身热、溲赤、苔黄腻。其病机乃湿热互结，蒸腐血肉，阻滞经络，正气难复，故新肉不生而腐肉不脱。
280,妇女痛经,,妇女经期或经行前后小腹疼痛，因血瘀阻滞胞宫，气血运行不畅，不通则痛。
281,妇女癥瘕,,妇女癥瘕，指子宫内因血瘀结聚形成的肿块，临床表现为小腹包块、刺痛拒按、经色紫暗有块。
282,腹暴痛,,腹暴痛，指胃脘部突发剧烈疼痛，痛势如刺如割，痛处固定不移，拒按，甚则痛引胸胁，或伴呕血、便黑。其病机多因瘀血内停胃络，气机阻滞，不通则痛。常由情志郁结、气滞日久，或外伤、术后，或寒凝血脉，致血行不畅，瘀阻胃腑而发。
284,腹部隐痛,,腹部隐痛，病在胃肠，因气虚推动无力、温煦失职，故痛势绵绵、喜按喜温。
285,腹部胀满,,腹部胀满，病在胃肠，乃气机壅滞不行，致脘腹痞塞不舒，胀闷不食。
286,腹部胀满不舒,,腹部胀满不舒，乃胃肠气机壅滞，升降失常所致，症见脘腹胀闷、叩之如鼓，属气滞证。
289,腹痛绵绵,,腹痛绵绵，胃气虚馁，运化无权，故脘腹隐痛、时作时止、喜温喜按。
293,腹胀满,,腹胀满，指自觉腹部胀满不舒，按之无形，甚则痞塞不通，病位在肠胃。多因情志不遂、饮食失节，致气机郁滞，升降失司，浊气内停。临床表现为脘腹胀满，时轻时重，嗳气或矢气后稍减，常伴纳呆、胸闷、胁胀，苔薄白，脉弦。
291,腹有癥块,,腹有癥块指腹腔内触及有形、固定不移的包块，多由血瘀日久凝聚而成，属癥积范畴。
294,腹中冷痛,,腹中冷痛，指自觉腹部（以肠胃为中心）疼痛，伴寒冷感，得温则减，遇寒加剧之症。多因中焦阳虚，寒邪内生或外侵，致胃肠脉络凝滞、气机不通。临床常兼见脘腹喜温喜按、纳呆、便溏或清冷，舌淡苔白，脉沉迟或弦紧。
295,腹中胀满,,腹中胀满，指自觉脘腹部痞塞胀满，按之柔软、无硬块，叩之如鼓，甚则胀及两胁。病位在肠胃，病性属气滞。多因情志抑郁、饮食不节，致肝失疏泄、脾胃升降失常，气机壅滞于中焦，故见胀满。其证候特点为时轻时重，嗳气或矢气后稍舒，常伴纳呆、胸闷。
297,肝火目赤,,肝火目赤，指肝经火热上攻于目所致之证候。临床以目赤肿痛、畏光流泪、目眵增多、或见目涩干痒、头痛烦躁、口苦咽干、脉弦数为特征。多因情志郁结，气郁化火，或嗜食辛辣厚味，内生火热，循肝经上扰清窍，火性炎上，灼伤目络而发。
299,肝区胀痛,,肝区胀痛，指胁肋部胀满疼痛，以右胁为主，痛处走窜不定，常因情志波动而加剧。其病位在肝，病性属气郁。多由情志不遂，肝失疏泄，气机郁滞，经脉不利所致。临床常伴胸闷、善太息、嗳气等症，脉多弦。
300,肝热目赤,,肝热目赤，指肝经火热上攻于目所致之证候。临床表现为目赤肿痛、畏光流泪、眵多黏结，或伴头痛眩晕、口苦咽干、烦躁易怒、胁肋灼痛、脉弦数。其病机多因情志郁结，气郁化火，或嗜食辛辣炙煿，蕴生内热，致肝火上炎，循经上扰清窍，灼伤目络而发。
301,肝痛,,肝痛（气滞）指肝失疏泄，气机郁滞，经络不通所致的胁肋胀痛或窜痛。其痛多走窜不定，常因情志不遂而诱发或加重，伴胸闷、善太息、嗳气、脘腹胀满等症。病机为肝气郁结，气滞血行不畅，脉络痹阻。
308,干泾不舒,,干泾不舒，指自觉咽、口、鼻、目或皮肤等孔窍、肌表干燥涩滞，失于濡润，而感拘紧、滞涩、不爽利之状。其症常伴口干欲饮、目涩难睁、皮肤枯槁、大便干结等。多因燥邪外袭，或津液亏耗、阴虚火旺，致津不上承、濡润失职；亦可由气不布津、血虚生风所致。
311,肛窦炎出血,,肛窦炎出血，系湿热蕴结大肠，下注魄门，灼伤血络所致。症见肛门坠胀疼痛，排便时加重，伴少量鲜红血丝附着粪便或手纸，兼见大便黏滞不爽、肛门灼热、溲黄。其病机为湿热毒邪壅滞肛窦，气血瘀阻，络破血溢。
316,肛门灼热,,肛门灼热，指自觉肛门局部有灼热感或烧灼不适之症。其病位在大肠，病性属火热。临床多伴见大便干结、排便灼痛、或下利脓血、肛门红肿。多因湿热下注大肠，或热结肠道，火毒壅滞魄门，灼伤脉络所致。
320,高热神昏,,高热神昏，指以体温骤升、神识昏蒙为主要表现的危重证候。临床可见壮热不退，烦躁谵语，甚则昏不知人，或伴抽搐、项强。其病机多由外感温热疫毒，内陷心包，或阳明热盛，扰乱神明所致。病性属实热，病势急迫，易耗气伤阴，动风动血。
323,髙热,,高热指体温显著升高，属阳热炽盛之象，多因外感火热之邪或内热壅盛，临床表现为壮热、烦渴、脉洪数等。
321,高血压头痛,,肝阳上亢所致高血压头痛，乃肝气郁结化火，阳亢风动，上扰清窍，症见头胀痛、眩晕、面赤、脉弦数。
324,髙热不退,,高热不退指邪热炽盛，持续稽留于气分或营分，体温居高不下，属里实热证，常伴口渴、烦躁、脉洪数等症。
325,睾丸偏坠,,睾丸偏坠，指单侧睾丸自觉下坠、牵引少腹或腰骶部不适，多伴阴囊冷缩、得温则减。其病位在肝经，病性属寒。因寒邪客于肝脉，气血凝滞，收引失司，致睾丸一侧偏坠而痛，常伴形寒肢冷、脉沉弦或迟。
327,睾丸肿,,睾丸肿，指单侧或双侧睾丸肿大、胀痛或坠痛之症。多因湿热下注肝经，蕴结阴器，气血壅滞所致。临床可见睾丸肿大如卵，皮色光亮或微红，触痛明显，常伴阴囊潮湿、小便短赤、舌红苔黄腻等湿热之象。
328,睾丸坠胀疼痛,,睾丸坠胀疼痛，指自觉睾丸下坠、胀满或牵掣作痛，常伴阴囊冷缩、得温稍减、遇寒加重。其病位在肝经，因足厥阴肝经循行绕阴器，肝寒凝滞，经脉收引，气血不畅，故见坠胀冷痛。病性属寒，病势为肝经寒凝气滞，多由外感寒邪或阳虚内寒所致。
331,咯痰不爽,,咯痰不爽，指痰液黏稠或胶结难出，咳吐时费力不畅，或虽咳而痰出不净，常伴咽干、胸闷。其病性属痰湿，多因脾失健运，水湿内停，聚而生痰；或肺气壅滞，津液不布，痰浊内阻，气道失于濡润，故痰黏难咯。
330,咯痰、血,,咯痰带血，因痰湿蕴肺，久郁化火，灼伤肺络，致血随痰出，色多暗红或夹痰块。
332,咯痰黄稠,,咯痰黄稠，指痰液色黄、质稠厚，咳吐不爽，多伴咽干、口渴、胸闷等症。其病机多属热邪壅肺，炼液为痰，痰热互结，肺失清肃所致。常见于风热犯肺或痰热内蕴之证。
333,咯痰色白,,咯痰色白，质稀或稠，多属寒痰或湿痰，系肺失宣肃、津液不化、痰湿内停之象。
334,咯痰色黄,,咯痰色黄，乃痰热壅肺之征，痰黄稠厚，多因热邪灼津，肺失清肃所致。
335,咯痰稀白,,咯痰稀白，为痰湿内停、肺失宣肃之象，痰质清稀色白，多属寒证或湿证。
336,咯吐白痰,,咯吐白痰，质稀或稠，量多易出，多因脾失健运、水湿内停，聚而成痰，上渍于肺所致。
339,各种中毒症,,各种中毒症指毒物侵入人体，导致气血逆乱、脏腑功能失调，表现为呕吐、泄泻、神昏、抽搐等危急证候。
