TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
64,不育,Bu Yu,不育症指正常育龄夫妇婚后有正常性生活，在1年或更长时间，不避孕，也未生育，已婚夫妇发生不育者有15％，其中男性不育症的发病率占30％。生育的基本条件是具有正常的性功能和拥有能与卵子结合的正常精子。因此，无论是性器官解剖或生理缺陷，还是下丘脑-垂体-性腺轴调节障碍，都可以导致不育。,肝肾,肝肾亏虚,Synonymous terms,"v1,v2",0
65,不欲饮食,Bu Yu Yin Shi,没有食欲,肠胃,脾胃虚弱,Synonymous terms,"v1,v2",0
66,不孕,Bu Yun,女子未避孕，性生活正常，与配偶同居1年而未孕者，称为不孕症。,肝肾,肝肾亏虚,Ontological terms,"v1,v2",0
67,步履艰难,Bu Lv Jian Nan,走路艰难,四肢,肾虚,Ontological terms,"v1,v2",0
68,嘈杂,Cao Za,是指胃中空虚，似饥非饥，似辣非辣，似痛非痛，莫可名状，时作时止的一种病证。病位在胃，与肝脾相关,脾胃,湿热,Synonymous terms,"v1,v2",0
69,嘈杂呕吐,Cao Za Ou Tu,湿热蕴结脾胃，气机升降失常，胃失和降，故见胃中嘈杂不适、恶心呕吐。,脾胃,湿热,Synonymous terms,"v1,v2",0
70,嘈杂似饥,Cao Za Si Ji,胃中空虚，似饥非饥,脾胃,湿热,Synonymous terms,"v1,v2",0
71,岔气,Cha Qi,急性胸肋痛，指运动时，特别是跑步中，胸肋部产生的疼痛。亦多见于举重、推车、跳跃、攀高、挑抬或搬运重物时，用力过度或不当时，岔气多发生在右下肋部，在动作停止后可自然消失。腹部按摩、缓慢深呼吸或腹式呼吸能加速其缓解。,肺,肺气上逆,Ontological terms,"v1,v2",0
72,岔气作痛,Cha Qi Zuo Tong,急性胸肋痛，指运动时，特别是跑步中，胸肋部产生的疼痛。亦多见于举重、推车、跳跃、攀高、挑抬或搬运重物时，用力过度或不当时，岔气多发生在右下肋部，在动作停止后可自然消失。腹部按摩、缓慢深呼吸或腹式呼吸能加速其缓解。,肺,肺气上逆,Ontological terms,"v1,v2",0
73,产后出血日久,Chan Hou Chu Xie Ri Jiu,产后出血日久，血虚不固，冲任失养，子宫虚损，致经血淋漓难净，伴面色㿠白、气短乏力。,子宫,血虚,Synonymous terms,"v1,v2",0
74,产后恶露不尽,Chan Hou E Lu Bu Jin,产后恶露是指产后随子宫蜕膜脱落，含有血液、坏死蜕膜等组织经阴道排出，称为恶露（lochia），这是产妇在产褥期的临床表现，属于生理性变化。恶露有血腥味，但无臭味，其颜色及内容物随时间而变化，一般持续4～6周，总量为500ml。如超出上述时间仍有较多恶露排出，称之为产后恶露不尽,子宫,血瘀,Synonymous terms,"v1,v2",0
75,产后腹痛,Chan Hou Fu Tong,"妇分娩后，由于子宫的缩复作用，小腹呈阵阵作痛，于产后1～2日出现，持续2～3日自然消失，西医称""宫缩痛""、""产后痛""，属生理现象，一般不需治疗。若腹痛阵阵加剧，难以忍受，或腹痛绵绵，疼痛不已，影响产妇的康复，为病态，应予治疗。",子宫,血瘀,Ontological terms,"v1,v2",0
76,产后流血,Chan Hou Liu Xie,产后恶露持续不止，量多色暗夹块，伴小腹刺痛拒按，乃瘀血阻滞胞宫，新血不得归经所致。,子宫,血瘀,Synonymous terms,"v1,v2",0
77,产后乳房结块,Chan Hou Ru Fang Jie Kuai,产后气机郁滞，胞宫余血未净，循经上逆，壅阻乳络，致乳房结块胀痛。,子宫,气郁,Synonymous terms,"v1,v2",0
78,产后乳汁不通,Chan Hou Ru Zhi Bu Tong,产后乳汁不通，系因气郁所致，病位在胞宫，涉及肝经。症见产后乳汁分泌甚少或全无，乳房胀硬疼痛，甚则牵引胸胁，情志抑郁，善太息，脘闷纳差。其病机为产后情志不遂，肝气郁结，气机壅滞，乳络受阻，乳汁运行不畅。,子宫,气郁,Ontological terms,"v1,v2",0
79,产后乳肿,Chan Hou Ru Zhong,产后乳肿，指产后乳房肿胀疼痛，甚则焮红灼热、乳汁排出不畅之证。病位虽在乳房，然其本在于子宫，因产后胞宫湿热未尽，循冲任之脉上逆于乳，壅滞乳络所致。临床多伴恶露量多、色黄质稠、小腹坠痛、口苦溲黄等湿热下注之象。,子宫,湿热,Ontological terms,"v1,v2",0
80,产后少乳,Chan Hou Shao Ru,产后缺奶，指产妇在哺乳时乳汁甚少或全无的一种状态，有多种因素可导致。,子宫,气郁,Ontological terms,"v1,v2",0
81,产后脱发,Chan Hou Tuo Fa,许多产妇会出现脱发现象。现代医学研究认为，产后脱发现象实属一种生理现象，它与产妇的生理变化、精神因素及生活方式有一定的关系。一般在产后半年左右就自行停止，所以不要过分紧张。,子宫,血虚,Synonymous terms,"v1,v2",0
82,产后小腹疼痛,Chan Hou Xiao Fu Teng Tong,产后小腹疼痛因血瘀所致者，乃恶露排出不畅，瘀血阻滞胞宫，气血运行不利，故见小腹刺痛拒按。,子宫,血瘀,Synonymous terms,"v1,v2",0
83,产后血虚,Chan Hou Xie Xu,产后血虚，指分娩后失血过多或生化乏源，致子宫冲任失于濡养之证。病位在子宫，病性属虚。临床表现为产后恶露量少色淡、小腹隐痛喜按、头晕心悸、面色萎黄、唇甲苍白、乳汁清稀，伴神疲乏力、舌淡苔薄、脉细弱。病机多因产程耗血，或素体血虚，复加产后亡血伤津，冲任空虚，子宫失荣所致。,子宫,血虚,,v1,1
84,产后血晕,Chan Hou Xie Yun,是指产妇分娩后突然头昏眼花，不能起坐，或心胸满闷，恶心呕吐，痰涌气急，心烦不安，甚则神昏口噤，不省人事，称为“产后血晕”,子宫,血虚,Ontological terms,"v1,v2",0
85,产后瘀痛,Chan Hou Yu Tong,产后瘀痛，系指产后子宫失于濡养，血虚兼夹瘀滞所致之小腹疼痛。临床表现为产后小腹绵绵作痛，喜温喜按，或兼见恶露量少、色淡质稀，伴头晕心悸、面色萎黄。其病机为产时失血过多，冲任血虚，胞脉失养；血虚则运行无力，致瘀血内停，不通则痛。,子宫,血虚,Ontological terms,"v1,v2",0
86,产后诸虚,Chan Hou Zhu Xu,产后气血大伤，冲任失养，胞宫未复，临床常见神疲乏力、恶露不绝、乳汁清稀等虚损之候。,子宫,气血虚弱,Synonymous terms,"v1,v2",0
87,产后子宫复旧不全,Chan Hou Zi Gong Fu Jiu Bu Quan,指产后6周子宫仍未能恢复到非孕状态。其原因复杂，如由于部分胎盘、胎膜残留；子宫内膜炎或盆腔感染,子宫,气血虚弱,Ontological terms,"v1,v2",0
88,肠风便血,Chang Feng Bian Xie,因风热客于肠胃或湿热蕴积肠胃，久而损伤阴络，致大便时出血，故名。临床表现：大便前出血如注，血色鲜红，肛门无肿痛，舌红、脉数等。,大肠,湿热,Ontological terms,"v1,v2",0
89,肠风下血,Chang Feng Xia Xie,肠风下血，病名。见《太平圣惠方》卷六十。即肠风，详该条。,大肠,湿热,Ontological terms,"v1,v2",0
90,肠功能紊乱,Chang Gong Neng Wen Luan,肠功能紊乱属中医“腹痛”、“泄泻”、“下利”等病症范畴，并与便秘密切相关。中医认为本病与饮食不节，过食生冷肥甘；或情志失调，肝气郁结；或劳倦太过，脾气受损；或年老体衰，久病脏虚，以致脾胃功能障碍等有关。临床可分为肝气乘脾、湿浊困脾、脾胃虚弱、脾肾阳虚等症型。,大肠,湿热,Synonymous terms,"v1,v2",0
91,肠鸣,Chang Ming,肠管内气体和液体随之流动，产生一种断续的咕噜声（gurgling sound）或气过水声，称为肠鸣音。肠鸣音是指腹中胃肠蠕动漉漉作响的体征。在正常情况下，肠鸣声低弱而和缓，一般难以闻及。当肠道功能异常或阻塞不通时，则肠鸣音高亢而频急。临床根据作响的部位及声音来判断病变部位和病变性质。,大肠,水饮,Ontological terms,"v1,v2",0
92,肠胃不适,Chang Wei Bu Shi,肠胃不适是一种腹部不舒服感受的统称。这通常包括胃痛、胃胀、恶心、呕吐、反酸、烧心、腹泻、便秘等症状。这些不适可能由多种原因引起，既包括饮食不当、腹部受凉、精神因素、药物因素等非疾病因素，又包括肠易激综合征、便秘、胃炎、胃食管反流等疾病因素。治疗的关键是明确病因，并针对病因进行治疗。,肠胃,脾胃不和,Synonymous terms,"v1,v2",0
93,潮热,Chao Re,潮热又名潮红，常见于更年期或者更年前期，常伴出汗及心悸而出现的燥热症状，多数情况下，由面部或者胸部开始，蔓延至全身，有人发作时可见到面部明显潮红。每次发作可持续20～30分钟，发作次数不定，可一周出现几次，也可一天出现几次，甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚、湿热、胃肠实热而引起。,大肠,阳明燥结,Ontological terms,"v1,v2",0
94,陈旧性伤痛,Chen Jiu Xing Shang Tong,陈旧性伤痛指病程日久、反复发作的局部疼痛，多因外伤后瘀血未净，气血凝滞，经络痹阻所致。,,瘀血,Synonymous terms,"v1,v2",0
95,晨起面肿,Chen Qi Mian Zhong,晨起面肿，因肾主水，肾虚则气化失司，水湿上泛于面，故见晨起眼睑及面部浮肿。,肾,肾虚,Synonymous terms,"v1,v2",0
96,齿鼻衄血,Chi Bi Nv Xie,脾虚失于统摄，血不循经，上溢于齿鼻而致衄血。,脾,脾虚,Synonymous terms,"v1,v2",0
97,齿痛,Chi Tong,牙齿者，骨之所终，髓之所养也。又手足阳明之支脉入于齿，故骨髓之气不足，与夫阳 明之 脉虚，风冷乘之而痛者，谓之风痛。,肾,肾虚,Ontological terms,"v1,v2",0
98,齿龈肿痛,Chi Ken Zhong Tong,所谓齿龈肿痛，实即牙齿根部痛，而且其周围齿肉肿胀，故称牙龈肿痛，也叫牙肉肿痛。牙龈肿痛主要是牙龈有炎症，牙龈下的炎症通过牙缝，牙结石，口腔死角进行多方位的传播，导致牙龈附着牙菌斑而导致牙龈肿痛。,脾,湿热,Ontological terms,"v1,v2",0
99,赤白痢,Chi Bai Li,中医指大便中带脓血的痢疾,大肠,湿热,Ontological terms,"v1,v2",0
100,赤白下痢,Chi Bai Xia Li,赤白下痢指大便中夹杂脓血黏液，色红白相兼，多因湿热蕴结大肠，气血瘀滞，肠道传导失司所致。,大肠,湿热,Synonymous terms,"v1,v2",0
101,赤痢,Chi Li,赤痢，中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论·痢病诸候》：“热乘于血，则流渗入肠，与痢相杂下，故为赤痢。,大肠,热毒,Ontological terms,"v1,v2",0
102,赤缕红斑,Chi Lv Hong Ban,赤缕红斑指皮肤上出现红色丝缕状脉络或斑片，多因热毒壅滞血分，灼伤脉络，迫血外溢所致。,皮肤,热毒,Synonymous terms,"v1,v2",0
103,虫毒,Chong Du,虫毒指蛇虫等所带有的毒液或毒气，人体接触或被咬螫而致病者，在病因分类上将这类致病原因称为虫毒。常见者如蛇毒、蜂毒、蜈蚣毒、蝎毒等。,,虫毒,Ontological terms,"v1,v2",0
104,虫咬肿痛,Chong Yao Zhong Tong,虫咬肿痛指虫毒侵袭肌肤，致局部红肿、灼热、瘙痒或刺痛，甚则起疱溃烂，属外感虫毒之实证。,,虫毒,Synonymous terms,"v1,v2",0
105,抽搐,Chou Chu,抽搐是不随意运动的表现，是神经－肌肉疾病的病理现象，表现为横 纹肌的不随意收缩。临床上常见的有如下几种：惊厥，强直性痉挛，肌阵挛，震颤，舞蹈样动作， 手足徐动，扭转痉挛， 肌束颤动， 习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛，风阳扰动、风毒窜络、阴血亏损等方面。常见于脑系疾病、传染病、中毒、头颅内伤、厥病类疾病、子痫、产后痉病、小儿惊风、破伤风、狂犬病等病中。临床对以抽搐为主病的病种尚不能确定时，可以抽搐待查作为初步诊断，并进行辩证论治。,,风热,Ontological terms,"v1,v2",0
106,抽搐神昏,Chou Chu Shen Hun,抽搐神昏，指肢体抽搐与神识昏蒙并见之危候。其病位在肝，病性属风，病势急迫。临床以突然昏仆、不省人事、四肢抽搐、项背强急、两目上视或口噤不开为特征。多因热极生风、肝阳化风或阴血亏虚，筋脉失养，风阳内动，上扰清窍所致。,,肝风,Ontological terms,"v1,v2",0
107,出血,Chu Xie,血液自血管或心脏外流,脾,火热,Ontological terms,"v1,v2",0
108,出血症,Chu Xie Zheng,是指由于凝血系统出现障碍而发生的出血现象,脾,火热,Ontological terms,"v1,v2",0
109,喘,Chuan,急促地呼吸：喘气。喘息。喘咳。苟延残喘,肺,气逆,Synonymous terms,"v1,v2",0
110,喘促,Chuan Cu,①义同喘息。可见于虚喘、实证。《景岳全书·杂证谟》列有喘促门。,肺,气逆,Synonymous terms,"v1,v2",0
111,喘促气逆,Chuan Cu Qi Ni,喘促气逆，指肺失肃降、气机上逆，表现为呼吸急促、张口抬肩，甚则难以平卧，属肺气壅塞之实证。,肺,气逆,Synonymous terms,"v1,v2",0
112,喘促痰多,Chuan Cu Tan Duo,肺失宣肃，痰饮壅盛，气逆不降，故见呼吸急促、喉中痰鸣、咳吐多量痰涎。,肺,痰饮,Synonymous terms,"v1,v2",0
113,喘急,Chuan Ji,喘急或称“喘促”。是形容气喘时呼吸急促之状。,肺,伏痰,Ontological terms,"v1,v2",0
